id;question;correct answer
1;What is the Japanese word for "water"?;水 (mizu)
2;How do you say "thank you" in Japanese?;ありがとう
3;What does "犬" (inu) mean?;dog
4;What is the correct reading of "食べる"?;taberu
5;How do you count to 3 in Japanese?;いち、に、さん
6;What is the Japanese word for "book"?;本 (hon)
7;What does "おいしい" (oishii) mean?;delicious
8;How do you say "goodbye" in Japanese?;さようなら
9;What is "月" (tsuki)?;moon
10;What does "大きい" (ookii) mean?;big
11;How do you say "excuse me" in Japanese?;すみません
12;What is the Japanese word for "mountain"?;山 (yama)
13;What does "新しい" (atarashii) mean?;new
14;How do you say "yes" in Japanese?;はい
15;What is "花" (hana)?;flower
