id;question;correct answer;wrong answer 1;wrong answer 2;wrong answer 3
1;息子;son;daughter;child;brother
2;What is "daughter" in Japanese?;娘;息子;妹;姉
3;祖父;grandfather;grandmother;father;uncle
4;祖母;grandmother;grandfather;mother;aunt
5;What is "uncle" in Japanese?;おじ;おば;祖父;祖母
6;おば;aunt;uncle;grandmother;grandfather
7;親;parent;child;relative;sibling
8;What is "relative" in Japanese?;親戚;親;兄弟;家族
9;夫;husband;wife;man;woman
10;妻;wife;husband;woman;man
11;What is "couple" in Japanese?;夫婦;夫;妻;家族
12;彼氏;boyfriend;girlfriend;friend;husband
13;彼女;girlfriend / she;boyfriend;friend;wife
14;What is "neighbor" in Japanese?;隣の人;友人;知人;親戚
15;客;guest, customer;shop owner;employee;boss
16;社長;company president;employee;customer;teacher
17;What is "employee" in Japanese?;社員;社長;客;店員
18;店員;shop clerk;customer;boss;student
19;医者;doctor;nurse;patient;dentist
20;What is "nurse" in Japanese?;看護師;医者;患者;歯医者
21;患者;patient;doctor;nurse;visitor
22;警察;police;fireman;soldier;thief
23;What is "thief" in Japanese?;泥棒;警察;犯人;探偵
24;運転手;driver;passenger;pilot;captain
25;歌手;singer;actor;musician;dancer
26;What is "actor" in Japanese?;俳優;歌手;監督;作家
27;作家;writer, author;singer;actor;painter
28;画家;painter;writer;photographer;musician
29;What is "photographer" in Japanese?;写真家;画家;作家;歌手
30;政治;politics;economy;history;science
31;経済;economy;politics;society;culture
32;What is "society" in Japanese?;社会;経済;政治;文化
33;文化;culture;society;history;science
34;歴史;history;geography;science;culture
35;What is "science" in Japanese?;科学;歴史;技術;数学
36;技術;technology;science;art;culture
37;法律;law;rule;politics;society
38;What is "international" in Japanese?;国際;国内;海外;世界
39;世界;world;country;society;universe
40;地球;earth;moon;sun;star
41;What is "nature" in Japanese?;自然;環境;地球;森
42;環境;environment;nature;weather;climate
43;気候;climate;weather;environment;season
44;What is "earthquake" in Japanese?;地震;台風;火事;事故
45;台風;typhoon;earthquake;flood;storm
46;火事;fire;accident;earthquake;storm
47;What is "accident" in Japanese?;事故;火事;地震;台風
48;交通;traffic;transportation;road;car
49;道路;road;traffic;bridge;corner
50;What is "corner" in Japanese?;角;道路;橋;交差点
51;橋;bridge;road;corner;stairs
52;階段;stairs;elevator;escalator;floor
53;What is "elevator" in Japanese?;エレベーター;エスカレーター;階段;階
54;エスカレーター;escalator;elevator;stairs;floor
55;屋上;rooftop;basement;floor;ceiling
56;What is "basement" in Japanese?;地下;屋上;一階;天井
57;壁;wall;floor;ceiling;door
58;天井;ceiling;floor;wall;roof
59;What is "curtain" in Japanese?;カーテン;窓;壁;床
60;床;floor;ceiling;wall;ground
61;棚;shelf;drawer;desk;chair
62;What is "drawer" in Japanese?;引き出し;棚;机;椅子
63;鏡;mirror;glass;window;picture
64;石鹸;soap;shampoo;towel;toothbrush
65;What is "towel" in Japanese?;タオル;石鹸;歯ブラシ;シャンプー
66;歯ブラシ;toothbrush;soap;towel;comb
67;布団;futon;blanket;pillow;bed
68;What is "blanket" in Japanese?;毛布;布団;枕;シーツ
69;枕;pillow;blanket;futon;sheet
70;お皿;plate;bowl;cup;chopsticks
71;What is "bowl" in Japanese?;お椀;お皿;コップ;茶碗
72;茶碗;rice bowl;plate;cup;mug
73;フォーク;fork;knife;spoon;chopsticks
74;What is "knife" in Japanese?;ナイフ;フォーク;スプーン;包丁
75;包丁;kitchen knife;knife;scissors;fork
76;鍋;pot;pan;kettle;bowl
77;What is "pan / frying pan" in Japanese?;フライパン;鍋;やかん;お皿
78;やかん;kettle;pot;pan;cup
79;冷蔵庫;refrigerator;microwave;oven;washing machine
80;What is "washing machine" in Japanese?;洗濯機;冷蔵庫;電子レンジ;掃除機
81;掃除機;vacuum cleaner;washing machine;refrigerator;air conditioner
82;エアコン;air conditioner;heater;fan;vacuum cleaner
83;What is "heater" in Japanese?;ヒーター;エアコン;扇風機;掃除機
84;扇風機;fan;heater;air conditioner;cooler
85;財布;wallet;bag;pocket;money
86;What is "key" in Japanese?;鍵;財布;傘;靴
87;傘;umbrella;key;bag;wallet
