id;question;correct answer;wrong answer 1;wrong answer 2;wrong answer 3
1;What is the Japanese word for "water"?;水 (mizu);火 (hi);土 (tsuchi);風 (kaze)
2;How do you say "thank you" in Japanese?;ありがとう;すみません;こんにちは;さようなら
3;What does "犬" (inu) mean?;dog;cat;bird;fish
4;What is the correct reading of "食べる"?;taberu;nomu;miru;kiku
5;How do you count to 3 in Japanese?;いち、に、さん;one, two, three;하나, 둘, 셋;一、二、三 (Chinese)
6;What is the Japanese word for "book"?;本 (hon);紙 (kami);鉛筆 (enpitsu);机 (tsukue)
7;What does "おいしい" (oishii) mean?;delicious;beautiful;big;small
8;How do you say "goodbye" in Japanese?;さようなら;こんにちは;おはよう;こんばんは
9;What is "月" (tsuki)?;moon;sun;star;cloud
10;What does "大きい" (ookii) mean?;big;small;long;short
11;How do you say "excuse me" in Japanese?;すみません;ごめんなさい;ありがとう;どういたしまして
12;What is the Japanese word for "mountain"?;山 (yama);川 (kawa);海 (umi);森 (mori)
13;What does "新しい" (atarashii) mean?;new;old;fast;slow
14;How do you say "yes" in Japanese?;はい;いいえ;たぶん;わかりません
15;What is "花" (hana)?;flower;tree;grass;leaf
